neighborhood,addresses,streets,aspect,density,avgPerStreet,curvature,gridRegularity,winnerN3,winnerN5,bisectN3,chainNNN3,chainRHN3,bisectN5,chainNNN5,chainRHN5
Adobe Meadows,316,19,1.446,5.94,16.6,0.452,0.211,chainRH,chainRH,4603,4535,4060,2890,2820,2638
Barron Park,1538,119,1.555,1.42,12.9,0.403,0.151,bisect,bisect,19607,23246,20489,12051,15657,12574
Baylands,324,177,1.112,0.42,1.8,0.815,0.034,bisect,chainRH,9807,14284,16938,12234,9925,9883
Charleston Gardens,194,18,1.196,8.77,10.8,0.587,0.222,chainNN,chainNN,2558,2037,2066,1554,1314,1347
Charleston Meadows,694,238,3.401,0.83,2.9,0.512,0.046,chainNN,bisect,10517,9500,9846,7098,8099,7890
Charleston Terrace,765,229,2.327,0.79,3.3,0.601,0.044,chainRH,bisect,12070,11727,11598,8083,9393,9816
Classic Communities,104,13,1.190,22.27,8.0,0.836,0.000,chainNN,bisect,808,806,869,444,681,564
College Terrace,1188,164,4.423,1.85,7.2,0.629,0.061,bisect,bisect,12238,12571,12711,8962,9272,9353
Commercial,267,196,1.157,0.54,1.4,0.849,0.005,chainNN,bisect,9504,7650,8418,4461,5132,6164
Community Center,489,26,1.960,7.36,18.8,0.504,0.385,chainRH,bisect,6049,5805,5759,3620,3677,3706
Crescent Park,1476,137,2.343,6.43,10.8,0.416,0.248,chainNN,bisect,19044,18701,19274,11639,12162,12541
Crest Park Duv St Fran,567,30,2.682,7.44,18.9,0.420,0.500,chainRH,chainRH,6651,6439,6138,4304,4053,3969
Downtown North,1969,652,1.097,19.63,3.0,0.762,0.017,bisect,bisect,20674,26937,30742,9924,16989,19586
Duv St Fran,966,59,2.167,7.57,16.4,0.515,0.220,chainRH,chainNN,10557,10473,10277,6469,6357,6384
Evergreen,539,82,1.298,14.28,6.6,0.639,0.037,chainNN,bisect,5843,5788,7254,3506,3613,4808
Evergreen Park,62,55,1.661,1.85,1.1,1.000,0.000,chainRH,chainNN,1594,989,910,1487,768,789
Fairmeadow,307,15,1.399,7.96,20.5,0.360,0.400,chainNN,chainRH,3656,2814,2814,2178,2011,1910
Foothills,52,7,1.597,0.01,7.4,0.734,0.429,chainNN,bisect,15250,14040,14040,7114,10457,10457
Greater Miranda,54,5,1.646,3.15,10.8,0.778,0.600,chainNN,bisect,800,747,747,442,524,456
Greenacres I,108,10,1.092,5.45,10.8,0.439,0.000,chainNN,chainNN,1347,1175,1256,785,746,764
Greenacres II,264,20,1.051,6.38,13.2,0.482,0.250,chainNN,chainNN,3044,3024,3031,1969,1948,1958
Greenhouse,230,141,1.390,40.20,1.6,1.000,0.000,bisect,bisect,911,6956,8298,596,5362,5404
Greenmeadow,466,125,1.388,3.60,3.7,0.394,0.064,bisect,chainNN,5286,5396,5749,3565,3433,3793
Leland Manor/Garland,508,26,1.711,4.67,19.5,0.499,0.346,chainNN,chainNN,6408,5781,6202,3981,3726,4067
Mayfield,1145,756,1.036,33.73,1.5,0.891,0.016,bisect,bisect,12132,12282,14980,4550,8782,10883
Meadow Park,142,15,1.265,0.66,9.5,0.603,0.200,chainNN,chainRH,2918,2831,2927,2322,2235,2148
Midtown,5101,581,1.030,6.99,8.8,0.422,0.060,bisect,bisect,54849,56077,59638,33801,35990,36884
Monroe Park,621,170,1.323,8.86,3.7,0.680,0.118,chainRH,bisect,8531,8681,7983,4857,5964,5386
Oak Creek,689,9,1.698,2.15,76.6,0.634,0.111,chainRH,chainNN,4709,4591,4582,3510,3412,3412
Old Palo Alto,1530,73,1.728,5.88,21.0,0.413,0.110,bisect,bisect,21038,22387,22428,12467,13664,13786
Palo Alto,79,31,1.582,0.01,2.5,0.988,0.032,chainRH,chainRH,17682,16952,16945,16837,16823,16817
Palo Alto Central,145,116,2.152,96.87,1.3,0.996,0.017,chainNN,chainNN,441,395,453,285,262,331
Palo Alto Hills,85,6,1.253,0.79,14.2,0.176,0.167,chainNN,bisect,3294,3107,3107,1940,1983,1983
Palo Alto Orchard,230,139,1.003,12.80,1.7,0.708,0.014,chainNN,chainNN,2899,1815,2154,1527,1125,1354
Palo Verde,1065,82,1.357,4.78,13.0,0.447,0.220,chainNN,bisect,13093,12016,12692,7679,7945,8052
Research Park,584,286,1.489,0.70,2.0,0.552,0.028,chainNN,chainNN,27388,18886,21229,15024,13125,14936
Southgate,268,30,1.496,1.00,8.9,0.470,0.133,chainNN,chainRH,4990,4080,4468,4070,3235,3061
Stanford,1737,335,1.080,1.10,5.2,0.382,0.134,chainNN,chainNN,51577,44938,53103,36299,31084,32962
University South,3023,938,1.685,13.28,3.2,0.680,0.044,bisect,bisect,42126,46546,46498,20640,31170,29812
Ventura,1654,453,1.159,6.13,3.7,0.646,0.020,bisect,bisect,24249,26737,25688,13930,16727,17530
Walnut Grove,138,10,1.115,5.65,13.8,0.504,0.300,chainNN,chainNN,1766,1490,1573,1140,899,901
